"TOCFL1","TOCFL2","TOCFL3","TOCFL4","TOCFL5"
"因","話","委員會","院士","巴西"
,"業者","香港","族群","生涯"
,"我國","院","特性","義工"
,"雖","中共","影像","業主"
,,"北京","陳","決策"
,,"國民黨","建築師","故宮"
,,"蘇聯","王","唱片"
,,"伊拉克","校方","效益"
,,"英國","國人","華航"
,,"新竹","德國","更新"
,,"李","政大","吳"
,,"美元","經由","蒐集"
,,"新加坡","建築物","觀賞"
,,"兩岸","定","情勢"
,,"中華","上海","推展"
,,"台大","專案","師大"
,,"高雄","孔子","波斯灣"
,,"整合","其它","鄉"
,,"理念","提昇","房地產"
,,"尚未","同仁","重複"
,,"資料庫","即可","業界"
,,"行政院","人文","現況"
,,"河川","電信","貨"
,,"民進黨","焦點","特"
,,"運作","胡適","公頃"
,,"藉","行銷","主機"
,,"中華民國","因應","分類"
,,"法國","紀錄","泰國"
,,"訊息","縣市","倫敦"
,,,"男子","部屬"
,,,"內心","問卷"
,,,"女子","肝炎"
,,,"人性","胡"
,,,"研發","新台幣"
,,,"大幅","癌"
,,,"保育","東南亞"
,,,"立委","印表機"
,,,"認同","風貌"
,,,"股票","奧運"
,,,"教育局","殘障"
,,,"情感","台幣"
,,,"紐約","筆者"
,,,"創意","專題"
,,,"台中","案例"
,,,"網際","經銷商"
,,,"視訊","將近"
,,,"中東","印度"
,,,"佳","不已"
,,,"購物","中油"
,,,"共識","公主"
,,,"法規","黃金"
,,,"特質","單元"
,,,"民意","工程師"
,,,"野生","遠距"
,,,"哈","保護區"
,,,"份子","版本"
,,,"藝術家","事項"
,,,"市府","宜蘭"
,,,"諮詢","瓷器"
,,,"授權","荷蘭"
,,,"澳洲","花蓮"
,,,"特定","推行"
,,,"縣長","回應"
,,,"縣府","謂"
,,,"資產","致"
,,,"董事長","講師"
,,,"競爭力","李登輝"
,,,"毛澤東","合作社"
,,,"層次","印尼"
,,,"林","錄影帶"
,,,"反彈","團隊"
,,,"似","主體"
,,,"尋求","對手"
,,,"手法","建構"
,,,"立法院","書記"
,,,"組合","太平洋"
,,,"層面","惟"
,,,"韓國","轉換"
,,,"註","立法"
,,,"徹底","涵蓋"
,,,"營運","完工"
,,,"境界","楊"
,,,"奧會","用地"
,,,"財務","認知"
,,,"清華","迄"
,,,"龐大","音樂會"
,,,"巴黎","預期"
,,,"理事長","模擬"
,,,"嗯哼","輔助"
,,,"安非他命","組長"
,,,"年度","專長"
,,,"設定","後者"
,,,"漢人","澎湖"
,,,"彷彿","加拿大"
,,,"東京","以色列"
,,,"知名","佛"
,,,"查詢","參賽"
,,,"校務","塑造"
,,,"幼稚園","社會主義"
,,,"大師","時空"
,,,"北市","嬉皮"
,,,"課題","行情"
,,,"契約","先導"
,,,"訂定","聯考"
,,,"科威特","和尚"
,,,"透露","義大利"
,,,"品牌","評鑑"
,,,"會長","搜尋"
,,,"核心","情境"
,,,"座談會","評鑑"
,,,"遂","趙"
,,,"全民","社長"
,,,"賺錢","身份"
,,,"鳥類","司法"
,,,"諸","東吳"
,,,"高雄市","物件"
,,,"家族","違規"
,,,"身心","瑞士"
,,,"個案","擴充"
,,,"大專","對應"
,,,"南非","主委"
,,,"耶","單一"
,,,"藉著","歷經"
,,,"視覺","加州"
,,,"實驗室","專"
,,,"病患","依法"
,,,"獎","大躍進"
,,,"螢幕","城鎮"
,,,"輔大","熊"
,,,"設計師","研擬"
,,,,"科系"
,,,,"編列"
,,,,"慾望"
,,,,"籌備"
,,,,"追蹤"
,,,,"安打"
,,,,"列印"
,,,,"宣導"
,,,,"城堡"
,,,,"資策會"
,,,,"績效"
,,,,"鏡頭"
,,,,"氣質"
,,,,"訴求"
,,,,"台南"
,,,,"記憶體"
,,,,"定位"
,,,,"基隆"
,,,,"效應"
,,,,"舊金山"
,,,,"屏東"
,,,,"得知"
,,,,"專輯"
,,,,"核酸"
,,,,"山西"
,,,,"聯邦"
,,,,"台電"
,,,,"曰"
,,,,"錦標賽"
,,,,"童年"
,,,,"申報"
,,,,"費率"
,,,,"股價"
,,,,"歌聲"
,,,,"桃園"
,,,,"溫馨"
,,,,"中興"
,,,,"有待"
,,,,"前者"
,,,,"價位"
,,,,"腫瘤"
,,,,"古人"
,,,,"陽明"
,,,,"高階"
,,,,"維修"
,,,,"廿"
,,,,"說道"
,,,,"台商"
,,,,"公營"
,,,,"園區"
,,,,"停車"
,,,,"馬來西亞"
,,,,"注音"
,,,,"含有"
,,,,"售價"
,,,,"違法"
,,,,"回饋"
,,,,"劍"
,,,,"寧靜"
,,,,"分組"
,,,,"晚間"
,,,,"美金"
,,,,"平台"
,,,,"豪華"
,,,,"心力"
,,,,"取向"
,,,,"兩性"
,,,,"專用"
,,,,"介面"
,,,,"大戰"
,,,,"偵辦"
,,,,"區分"
,,,,"同步"
,,,,"壓抑"
,,,,"預料"
